,feature,importance
0,prev-yr_eviction-filings_4quantiles_4.0,0.1145640968928054
1,prev-yr_evictions_4quantiles_4.0,0.09121940282251437
2,prev-yr_pct-af-am_4quantiles_4.0,0.035645290365165304
3,prev-yr_pct-renter-occupied_4quantiles_4.0,0.020279627454871548
4,renter_occupied_4quantiles_4.0,0.01859858114018611
5,prev-yr_eviction-filing-rate_4quantiles_4.0,0.01814437485889356
6,prev-yr_renter-occupied-households_4quantiles_4.0,0.01806849308655282
7,prev-yr_eviction-filings_4quantiles_3.0,0.01696375480119157
8,prev-yr_eviction-rate_4quantiles_4.0,0.015169429306965156
9,prev-yr_eviction-filings_4quantiles_1.0,0.014177914719316675
10,renter_moved_2010-2014/2000-2009_4quantiles_4.0,0.013185744716232146
11,prev-yr_evictions_4quantiles_2.0,0.012866602813885037
12,prev-yr_pct-white_4quantiles_1.0,0.011929431063689796
13,prev-yr_evictions-effectiveness_4quantiles_1.0,0.011120430420869666
14,prev-yr_evictions_4quantiles_1.0,0.011040517299776275
15,estimate_civilian_unemployed_4quantiles_4.0,0.01066645301836026
16,prev-yr_median-household-income_4quantiles_1.0,0.010530950686045244
17,prev-yr_eviction-rate_4quantiles_1.0,0.010523187758298518
18,prev-yr_evictions_4quantiles_3.0,0.01041363644944609
19,prev-yr_eviction-rate_4quantiles_2.0,0.008889402701800534
20,prev-yr_eviction-filings_4quantiles_2.0,0.008625102091901142
21,with_public_assistance_income_4quantiles_4.0,0.008226811847977437
22,prev-yr_poverty-rate_4quantiles_4.0,0.008186614656518923
23,renter_moved_2000-2009/1990-1999_4quantiles_4.0,0.007900915717954426
24,prev-yr_median-property-value_4quantiles_1.0,0.0078023920848167335
25,prev-yr_eviction-filing-rate_4quantiles_1.0,0.007256160778669316
26,prev-yr_evictions-effectiveness_4quantiles_3.0,0.007180443648239213
27,prev-yr_renter-occupied-households_4quantiles_3.0,0.007023179296993258
28,prev-yr_eviction-rate_4quantiles_3.0,0.006991248811780568
29,prev-yr_renter-occupied-households_4quantiles_2.0,0.00697248140468989
30,renter_moved_1979/1969_earlier_4quantiles_4.0,0.006748354696445344
31,prev-yr_eviction-filing-rate_4quantiles_3.0,0.0067348892120723276
32,prev-yr_population_4quantiles_4.0,0.0067145617745480975
33,renter_moved_1990-1999/1980-1989_4quantiles_4.0,0.006469400329669142
34,prev-yr_pct-multiple_4quantiles_3.0,0.006466038078767351
